timestamp,close
2024-09-04 00:00,1275.8
2024-09-05 00:00,1268.21
2024-09-06 00:00,1273.96
2024-09-09 00:00,1267.73
2024-09-10 00:00,1255.23
2024-09-11 00:00,1253.27
2024-09-12 00:00,1256.35
2024-09-13 00:00,1251.71
2024-09-16 00:00,1239.26
2024-09-17 00:00,1258.95
2024-09-18 00:00,1264.9
2024-09-19 00:00,1271.27
2024-09-20 00:00,1272.04
2024-09-23 00:00,1268.48
2024-09-24 00:00,1276.99
2024-09-25 00:00,1287.48
2024-09-26 00:00,1291.49
2024-09-27 00:00,1290.92
2024-09-30 00:00,1287.94
2024-10-01 00:00,1292.2
2024-10-02 00:00,1287.84
2024-10-03 00:00,1278.1
2024-10-04 00:00,1270.6
2024-10-07 00:00,1269.93
2024-10-08 00:00,1271.98
2024-10-09 00:00,1281.85
2024-10-10 00:00,1286.36
2024-10-11 00:00,1288.39
2024-10-14 00:00,1286.34
2024-10-15 00:00,1281.08
2024-10-16 00:00,1279.48
2024-10-17 00:00,1286.52
2024-10-18 00:00,1285.46
2024-10-21 00:00,1279.77
2024-10-22 00:00,1269.89
2024-10-23 00:00,1270.9
2024-10-24 00:00,1257.41
2024-10-25 00:00,1252.72
2024-10-28 00:00,1254.77
2024-10-29 00:00,1261.78
2024-10-30 00:00,1258.63
2024-10-31 00:00,1264.48
2024-11-01 00:00,1254.89
2024-11-04 00:00,1244.71
2024-11-05 00:00,1245.76
2024-11-06 00:00,1261.28
2024-11-07 00:00,1259.75
2024-11-08 00:00,1252.56
2024-11-11 00:00,1250.32
2024-11-12 00:00,1244.82
2024-11-13 00:00,1246.04
2024-11-14 00:00,1231.89
2024-11-15 00:00,1218.57
2024-11-18 00:00,1217.12
2024-11-19 00:00,1205.15
2024-11-20 00:00,1216.54
2024-11-21 00:00,1228.33
2024-11-22 00:00,1228.1
2024-11-25 00:00,1234.7
2024-11-26 00:00,1242.13
2024-11-27 00:00,1241.97
2024-11-28 00:00,1242.11
2024-11-29 00:00,1250.46
2024-12-02 00:00,1251.21
2024-12-03 00:00,1249.83
2024-12-04 00:00,1240.41
2024-12-05 00:00,1267.53
2024-12-06 00:00,1270.14
2024-12-09 00:00,1273.84
2024-12-10 00:00,1272.07
2024-12-11 00:00,1268.86
2024-12-12 00:00,1267.35
2024-12-13 00:00,1262.57
2024-12-16 00:00,1263.79
2024-12-17 00:00,1261.72
2024-12-18 00:00,1266.0
2024-12-19 00:00,1254.67
2024-12-20 00:00,1257.5
2024-12-23 00:00,1262.76
2024-12-24 00:00,1260.36
2024-12-25 00:00,1274.04
2024-12-26 00:00,1272.87
2024-12-27 00:00,1275.14
2024-12-30 00:00,1272.02
2024-12-31 00:00,1266.78
2025-01-02 00:00,1269.71
2025-01-03 00:00,1254.59
2025-01-06 00:00,1246.35
2025-01-07 00:00,1246.95
2025-01-08 00:00,1251.02
2025-01-09 00:00,1245.77
2025-01-10 00:00,1230.48
2025-01-13 00:00,1235.65
2025-01-14 00:00,1229.07
2025-01-15 00:00,1236.18
2025-01-16 00:00,1242.36
2025-01-17 00:00,1249.11
